k,Destination,Result,Execution Time (s),Insert Operations,DeleteMin Operations,DecreaseKey Operations
1,1,0,0.062919,1,1,0
2,2,113,0.063230,133,84,132
3,3,63,0.057998,74,23,73
4,4,60,0.053847,62,19,61
5,5,83,0.060072,94,40,93
6,6,83,0.062093,96,41,95
7,7,95,0.064983,124,60,123
8,8,127,0.066308,140,102,139
9,9,123,0.070434,140,94,139
10,10,103,0.055999,129,73,128
11,11,128,0.071686,140,105,139
12,12,86,0.060857,111,48,110
13,13,122,0.070166,138,93,137
14,14,76,0.061758,83,35,82
15,15,13,0.057777,11,3,10
16,16,58,0.051706,58,16,57
17,17,144,0.053543,140,120,139
18,18,132,0.072771,140,108,139
19,19,72,0.104162,82,33,81
20,20,69,0.054004,80,29,79
21,21,52,0.051739,52,15,51
22,22,117,0.051538,137,91,136
23,23,110,0.051649,132,78,131
24,24,92,0.053025,119,56,118
25,25,83,0.053497,99,42,98
26,26,153,0.055053,140,129,139
27,27,70,0.054708,82,32,81
28,28,43,0.057306,34,9,33
29,29,121,0.054106,137,92,136
30,30,50,0.051999,45,13,44
